0;[0-0.1[;[0-0.2[;[0-0.4[;*
0.0896;[0-0.1[;[0-0.2[;[0-0.4[;*
0.1045;[0.1-0.2[;[0-0.2[;[0-0.4[;*
0.1343;[0.1-0.2[;[0-0.2[;[0-0.4[;*
0.1642;[0.1-0.2[;[0-0.2[;[0-0.4[;*
0.194;[0.1-0.2[;[0-0.2[;[0-0.4[;*
0.2239;[0.2-0.3[;[0.2-0.4[;[0-0.4[;*
0.2537;[0.2-0.3[;[0.2-0.4[;[0-0.4[;*
0.2836;[0.2-0.3[;[0.2-0.4[;[0-0.4[;*
0.2985;[0.2-0.3[;[0.2-0.4[;[0-0.4[;*
0.3284;[0.3-0.4[;[0.2-0.4[;[0-0.4[;*
0.3582;[0.3-0.4[;[0.2-0.4[;[0-0.4[;*
0.3881;[0.3-0.4[;[0.2-0.4[;[0-0.4[;*
0.4179;[0.4-0.5[;[0.4-0.6[;[0.4-0.8[;*
0.4478;[0.4-0.5[;[0.4-0.6[;[0.4-0.8[;*
0.4627;[0.4-0.5[;[0.4-0.6[;[0.4-0.8[;*
0.4925;[0.4-0.5[;[0.4-0.6[;[0.4-0.8[;*
0.5224;[0.5-0.6[;[0.4-0.6[;[0.4-0.8[;*
0.5522;[0.5-0.6[;[0.4-0.6[;[0.4-0.8[;*
0.5821;[0.5-0.6[;[0.4-0.6[;[0.4-0.8[;*
0.6119;[0.6-0.7[;[0.6-0.8[;[0.4-0.8[;*
0.6418;[0.6-0.7[;[0.6-0.8[;[0.4-0.8[;*
0.6567;[0.6-0.7[;[0.6-0.8[;[0.4-0.8[;*
0.6866;[0.6-0.7[;[0.6-0.8[;[0.4-0.8[;*
0.7164;[0.7-0.8[;[0.6-0.8[;[0.4-0.8[;*
0.7463;[0.7-0.8[;[0.6-0.8[;[0.4-0.8[;*
0.7761;[0.7-0.8[;[0.6-0.8[;[0.4-0.8[;*
0.806;[0.8-0.9[;[0.8-1[;[0.8-1.2[;*
0.8358;[0.8-0.9[;[0.8-1[;[0.8-1.2[;*
0.8507;[0.8-0.9[;[0.8-1[;[0.8-1.2[;*
