Age,Workclass,Education,Marital status,Occupation,Race,Sex,Native country,Income
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Male,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Male,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Male,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Male,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Male,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Male,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Male,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Male,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Male,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Male,North America,<=50K
[40-60[,Government,Higher education,Divorced,Nontechnical,White,Male,North America,<=50K
[40-60[,Government,Secondary education,Divorced,Nontechnical,White,Female,North America,<=50K
[40-60[,Government,Secondary education,Divorced,Nontechnical,White,Female,North America,<=50K
