Season,Year,Month,Hour,Holiday,Weekday,Working Day,Weather ID,Temperature,Feeling Temperature,Humidity,Windspeed,Count
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
*,2011,*,*,0,*,*,*,[0-0.4[,*,*,*,1
