Season,Year,Month,Hour,Holiday,Weekday,Working Day,Weather ID,Temperature,Feeling Temperature,Humidity,Windspeed,Count
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
*,*,*,*,*,*,*,*,[0-0.4[,[0-0.4[,*,*,1
