Season,Year,Month,Hour,Holiday,Weekday,Working Day,Weather ID,Temperature,Feeling Temperature,Humidity,Windspeed,Count
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,16
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,40
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,32
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,13
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,1
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,1
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,2
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,3
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,8
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,14
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,36
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,56
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,84
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,94
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,106
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,110
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,93
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,67
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,35
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,37
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,36
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,34
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,28
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,39
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,17
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,17
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,9
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,6
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,3
*,*,*,*,0,*,0,*,[0-0.4[,*,*,*,2
