Age,Workclass,Education,Marital status,Occupation,Race,Sex,Native country,Income
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,Black,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[20-40[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
[40-60[,Government,Higher education,Divorced,*,White,Female,North America,<=50K
